Epoch,Before Cost,After Cost
"[356, 216484.1255493164, 148552.75799560547]"
"[357, 225075.47094726562, 155337.59060668945]"
"[358, 219725.681640625, 150104.8564453125]"
"[359, 221835.17517089844, 155402.96813964844]"
"[360, 221335.5209350586, 154418.73104858398]"
"[361, 228637.51275634766, 156146.2130126953]"
"[362, 224966.1314086914, 158027.88159179688]"
"[363, 215525.43060302734, 148812.4871826172]"
"[364, 225491.18328857422, 157557.31744384766]"
"[365, 219892.65014648438, 152289.90362548828]"
"[366, 216153.9013671875, 151484.41638183594]"
"[367, 217742.06744384766, 150817.62084960938]"
"[368, 228687.51043701172, 158271.7466430664]"
"[369, 225081.56616210938, 156350.61279296875]"
"[370, 213266.27893066406, 149363.37432861328]"
"[371, 222964.390625, 156154.00674438477]"
"[372, 208838.95678710938, 146084.5606689453]"
"[373, 222489.17846679688, 153393.353515625]"
"[374, 220734.9678955078, 152690.9112548828]"
"[375, 222544.75024414062, 153069.04803466797]"
"[376, 226646.39282226562, 157783.7928466797]"
"[377, 217415.8305053711, 153775.11065673828]"
"[378, 223052.22076416016, 154326.16958618164]"
"[379, 214266.50018310547, 150599.2068786621]"
"[380, 210175.19018554688, 146433.79571533203]"
"[381, 221199.7596435547, 153452.90313720703]"
"[382, 218202.0811767578, 151423.15362548828]"
"[383, 224414.40631103516, 156894.11755371094]"
"[384, 211496.55529785156, 148748.24237060547]"
"[385, 225331.9263305664, 156367.46389770508]"
"[386, 212780.75646972656, 150026.9697265625]"
"[387, 212708.17584228516, 149565.1275024414]"
"[388, 216679.95349121094, 153110.41339111328]"
"[389, 218277.13983154297, 152910.92706298828]"
"[390, 220640.5551147461, 154114.6387939453]"
"[391, 216929.71704101562, 151142.55047607422]"
"[392, 221258.4644165039, 153900.30004882812]"
"[393, 221149.0389404297, 153790.71322631836]"
"[394, 221786.66577148438, 153595.19659423828]"
"[395, 215045.36108398438, 153013.05694580078]"
"[396, 216439.07916259766, 151982.6607055664]"
"[397, 215752.02630615234, 148778.8579711914]"
