Epoch,Before Cost,After Cost
"[557, 177426.84375, 103521.9921875]"
"[558, 218836.296875, 156065.671875]"
"[559, 222712.390625, 129705.0]"
"[560, 207073.515625, 114007.328125]"
"[561, 170181.609375, 107002.3984375]"
"[562, 207897.53125, 132080.84375]"
"[563, 199809.921875, 138255.328125]"
"[564, 310049.875, 190373.65625]"
"[565, 191792.296875, 87056.0]"
"[566, 296007.0625, 255832.390625]"
"[567, 174578.09375, 119523.890625]"
"[568, 294759.0625, 216633.484375]"
"[569, 222054.984375, 126106.421875]"
"[570, 294957.90625, 213989.4375]"
"[571, 182001.9375, 130443.5390625]"
"[572, 199462.125, 126794.6015625]"
"[573, 160574.953125, 108418.9453125]"
"[574, 205192.09375, 141480.796875]"
"[575, 374595.78125, 243864.65625]"
"[576, 216545.5625, 135670.125]"
"[577, 179861.46875, 119135.546875]"
"[578, 244971.3125, 140856.53125]"
"[579, 250240.296875, 127413.96875]"
"[580, 261363.796875, 156033.265625]"
"[581, 198328.640625, 134718.765625]"
"[582, 183902.921875, 126478.8515625]"
"[583, 290154.8125, 197790.53125]"
"[584, 219802.75, 140843.125]"
"[585, 254379.53125, 165519.34375]"
"[586, 178800.796875, 112736.2578125]"
"[587, 99927.546875, 61666.4375]"
"[588, 171862.375, 89984.6640625]"
"[589, 141238.078125, 110654.0390625]"
"[590, 289210.5625, 156275.78125]"
"[591, 152774.640625, 95995.84375]"
"[592, 242189.484375, 161955.84375]"
"[593, 296009.75, 222967.390625]"
"[594, 153933.9375, 106086.296875]"
"[595, 161406.15625, 111824.5859375]"
"[596, 311232.25, 201787.796875]"
"[597, 220193.734375, 148351.84375]"
"[598, 215818.8125, 147110.71875]"
"[599, 325617.21875, 258852.828125]"
"[600, 142684.109375, 88220.6796875]"
"[601, 158278.015625, 101922.6015625]"
"[602, 164560.078125, 110002.890625]"
"[603, 255618.71875, 160268.8125]"
"[604, 193803.984375, 124522.828125]"
"[605, 179634.109375, 128941.703125]"
"[606, 172251.234375, 81433.484375]"
"[607, 209021.4375, 104945.5703125]"
"[608, 155207.703125, 74743.453125]"
"[609, 308150.1875, 202614.21875]"
"[610, 257654.328125, 170897.71875]"
"[611, 191499.34375, 114361.5]"
"[612, 221872.609375, 154834.8125]"
"[613, 272595.9375, 165788.953125]"
"[614, 247340.828125, 157536.28125]"
"[615, 142488.53125, 90253.2265625]"
"[616, 259820.75, 157234.75]"
"[617, 185865.078125, 132462.546875]"
"[618, 237233.0, 150853.0]"
"[619, 169742.84375, 97844.890625]"
"[620, 133621.75, 70420.0]"
"[621, 198856.71875, 100358.3359375]"
"[622, 211210.25, 136446.515625]"
"[623, 337440.84375, 225763.703125]"
"[624, 231469.78125, 143467.328125]"
"[625, 230217.75, 174288.5]"
"[626, 176411.8125, 114499.421875]"
"[627, 195145.328125, 130178.8671875]"
"[628, 123320.828125, 84717.4453125]"
"[629, 158154.796875, 91530.3515625]"
"[630, 311232.25, 201738.296875]"
"[631, 224091.9375, 140809.375]"
"[632, 244271.375, 161792.140625]"
"[633, 289530.03125, 167469.578125]"
"[634, 278607.625, 137861.59375]"
"[635, 329686.15625, 205814.015625]"
"[636, 248657.25, 168407.203125]"
"[637, 236440.484375, 166363.8125]"
"[638, 289085.375, 173807.125]"
"[639, 173608.28125, 101827.5546875]"
"[640, 284545.8125, 162313.78125]"
"[641, 304626.8125, 210186.90625]"
"[642, 204062.296875, 134142.796875]"
"[643, 206820.21875, 128048.265625]"
"[644, 224740.875, 130408.6484375]"
"[645, 154333.40625, 96051.078125]"
"[646, 208722.125, 130917.90625]"
"[647, 221358.921875, 143421.40625]"
"[648, 256843.953125, 145824.375]"
"[649, 209745.4375, 133969.34375]"
"[650, 248156.8125, 151869.609375]"
"[651, 414477.0625, 296084.9375]"
"[652, 274617.6875, 138812.84375]"
"[653, 253212.828125, 159800.5625]"
"[654, 153878.609375, 104473.25]"
"[655, 220673.5625, 133293.84375]"
"[656, 213454.890625, 158803.421875]"
"[657, 219974.40625, 164953.5625]"
"[658, 174508.09375, 110686.8515625]"
"[659, 142340.96875, 86863.359375]"
"[660, 164693.046875, 102458.046875]"
"[661, 197750.203125, 127511.015625]"
"[662, 163561.515625, 107708.6875]"
"[663, 340305.59375, 250889.421875]"
"[664, 249403.609375, 139857.8125]"
"[665, 183934.09375, 109410.421875]"
"[666, 271044.4375, 173681.96875]"
"[667, 185101.34375, 107532.6171875]"
"[668, 161495.796875, 95151.28125]"
"[669, 151212.546875, 97466.171875]"
"[670, 395340.375, 289000.0625]"
"[671, 264629.5, 175117.625]"
"[672, 205545.453125, 134556.625]"
"[673, 214587.625, 148698.125]"
